Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,53.799999,53.799999,53.150002,53.610001,51.458889,32787800
2020-01-07,53.500000,54.189999,53.400002,54.000000,51.833241,16326400
2020-01-08,54.200001,54.369999,53.619999,54.009998,51.842838,15298500
2020-01-09,53.750000,53.869999,53.049999,53.299999,51.161327,14638000
2020-01-10,53.750000,53.869999,53.110001,53.360001,51.218922,9129200
2020-01-13,53.639999,55.639999,53.509998,55.299999,53.081078,27497400
2020-01-14,55.299999,56.349998,55.000000,55.639999,53.407433,27817000
2020-01-15,55.299999,56.080002,55.110001,55.459999,53.234657,21425300
2020-01-16,55.599998,55.950001,55.099998,55.169998,52.956291,13149100
2020-01-17,56.250000,57.090000,56.099998,57.000000,54.712864,36524100
2020-01-20,57.000000,57.360001,56.529999,57.360001,55.058418,16746300
2020-01-21,56.799999,57.009998,55.740002,56.029999,53.781784,25436800
2020-01-22,56.599998,56.849998,56.060001,56.299999,54.040951,17269400
2020-01-23,55.430000,55.730000,54.709999,55.500000,53.273052,23028900
2020-01-24,55.619999,55.730000,53.689999,53.799999,51.641266,19744800
2020-01-27,51.660000,51.820000,50.480000,50.509998,48.483276,38779700
2020-01-28,51.200001,52.090000,51.080002,51.200001,49.145592,23046400
2020-01-29,51.700001,51.889999,50.459999,50.750000,48.713646,23323000
2020-01-30,49.970001,51.500000,49.799999,51.500000,49.433552,23083200
2020-01-31,50.959999,51.060001,49.799999,50.270000,48.252907,29988200
2020-02-03,50.500000,51.090000,49.799999,50.910000,48.867226,18858200
2020-02-04,52.200001,52.580002,51.970001,52.270000,50.172657,21559200
2020-02-05,53.320000,53.619999,52.990002,52.990002,50.863770,26797700
2020-02-06,53.660000,53.919998,52.820000,53.279999,51.142128,22155800
2020-02-07,52.880001,52.959999,51.919998,52.099998,50.009476,14450900
2020-02-10,51.900002,51.900002,49.919998,50.189999,48.176117,28244800
2020-02-11,51.150002,52.200001,51.020000,52.049999,49.961483,27560600
2020-02-12,53.099998,53.380001,52.830002,53.070000,50.940556,28539800
2020-02-13,52.220001,52.400002,51.560001,52.139999,50.047871,20105600
2020-02-14,52.209999,52.279999,50.950001,51.000000,48.953617,19896200
2020-02-17,51.709999,53.410000,51.619999,53.410000,51.266914,28134200
2020-02-18,52.549999,53.049999,52.119999,52.799999,50.681389,18054400
2020-02-19,52.930000,53.119999,52.400002,52.810001,50.690990,14439700
2020-02-20,53.270000,53.490002,52.060001,52.200001,50.105465,18818800
2020-02-21,51.000000,51.139999,49.799999,50.130001,48.118526,32249900
2020-02-26,null,null,null,null,null,null
2020-02-27,44.650002,45.540001,43.560001,44.470001,42.685635,42419000
2020-02-28,43.990002,44.310001,43.200001,44.310001,42.532055,33228600
2020-03-02,44.880001,47.090000,44.810001,46.360001,44.499798,48372500
2020-03-03,46.740002,49.090000,46.070000,46.349998,44.490196,52401800
2020-03-04,48.000000,49.090000,47.000000,48.570000,46.621120,31476600
2020-03-05,47.660000,47.950001,45.950001,46.849998,44.970135,29092300
2020-03-06,44.200001,45.820000,43.650002,44.610001,42.820015,39718600
2020-03-09,40.450001,41.540001,37.810001,37.830002,36.312065,59037000
2020-03-10,41.900002,45.340000,40.799999,44.810001,43.011990,63269800
2020-03-11,43.009998,44.290001,39.000000,40.740002,39.105301,50025000
2020-03-12,36.000000,36.000000,32.450001,35.349998,33.931572,62222000
2020-03-13,42.000000,44.029999,37.000000,42.900002,41.178631,67635900
2020-03-16,36.009998,41.400002,36.009998,39.040001,37.473515,59078300
2020-03-17,40.500000,43.570000,39.110001,41.509998,39.844402,52743800
2020-03-18,38.799999,40.869999,35.700001,38.650002,37.099163,59689100
2020-03-19,37.500000,39.000000,35.259998,36.400002,34.939445,52645400
2020-03-20,37.900002,39.410000,34.709999,35.189999,33.777992,50479900
2020-03-23,35.549999,35.860001,33.369999,34.099998,32.731731,41958300
2020-03-24,36.860001,38.650002,36.860001,37.639999,36.129688,37044800
2020-03-25,38.189999,41.349998,38.090000,40.849998,39.210884,38064400
2020-03-26,41.009998,42.410000,39.990002,42.000000,40.314743,36253000
2020-03-27,39.299999,41.439999,39.200001,40.099998,38.490978,32331200
